1,101,843276
2,101,2289480
3,101,3579446
4,101,1115974
5,101,2059078
6,101,1535333
7,101,2112061
8,101,1551840
9,101,2112059
10,102,3650001
11,102,2702396
12,102,1710327
13,102,2889732
14,102,890338
15,102,3467226
16,102,2993417
17,102,3003317
18,102,3206724
19,102,3511768
20,102,1224095
21,102,2184087
22,102,2737165
23,102,3443300
24,102,3316313
25,102,2998236
26,102,2744529
27,102,2856262
28,102,3194977
29,102,3578659
30,102,2857065
31,102,3602104
32,102,3585227
33,103,3483357
34,103,3481897
35,103,606067
36,103,3504362
37,104,3652512
38,104,3488124
39,104,2723714
40,104,3542762
41,104,2302738
42,104,2970544
43,105,2289480
44,105,2043056
45,105,2186292
46,105,2059078
47,105,1535333
48,105,2700048
49,105,3734203
50,105,3464421
51,105,3563185
